PropInfoCurYear,PropInfoPIN,PropInfoAddress,PropInfoCity,PropInfoTownship,PropInfoClassification,PropInfoSqFt,PropInfoNBHD,PropInfoTaxcode,AsdValCurYear,AsdValPrevYear,AsdValLandFirstPass,AsdValLandCertified,AsdValBldgFirstPass,AsdValBldgCertified,AsdValTotalFirstPass,AsdValTotalCertified,PropCharCurrYear,PropCharMktValCurrYear,PropCharPrevYear,PropCharMktValPrevYear,PropCharDesc,PropCharResType,PropCharUse,PropCharApts,PropCharExtConst,PropCharFullBaths,PropCharHalfBaths,PropCharBasement,PropCharAttic,PropCharCentAir,PropCharFrpl,PropCharGarage,PropCharAge,PropCharBldgSqFt,PropCharAsmtPass
2019,15-01-104-003-0000,1519 PARK AVE ,RIVER FOREST,River Forest,206,"7,240",15,33001,2019 Assessor Certified,2018,"8,688","8,688","37,810","37,810","46,498","46,498",2019,"$464,980",2018,"$464,980","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Unfinished,None,Yes,1,2 car attached,77,"2,463",Assessor Certified
2019,15-01-104-005-0000,1519 PARK AVE ,RIVER FOREST,River Forest,206,"3,620",15,33001,2019 Assessor Certified,2018,"4,344","4,344","9,452","9,452","13,796","13,796",2019,"$137,960",2018,"$137,960","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Unfinished,None,Yes,1,2 car attached,77,"2,463",Assessor Certified
2019,15-01-104-006-0000,1515 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","49,637","49,637","62,669","62,669",2019,"$626,690",2018,"$626,690","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,1,Partial and Rec Room,None,Yes,1,1.5 car attached,74,"2,608",Assessor Certified
2019,15-01-104-007-0000,1509 PARK AVE ,RIVER FOREST,River Forest,206,"12,645",15,33001,2019 Assessor Certified,2018,"15,174","15,174","48,633","48,633","63,807","63,807",2019,"$638,070",2018,"$638,070","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Unfinished,Full and Unfinished,Yes,1,2 car detached,92,"2,750",Assessor Certified
2019,15-01-104-008-0000,1501 PARK AVE ,RIVER FOREST,River Forest,206,"13,394",15,33001,2019 Assessor Certified,2018,"16,072","16,072","84,919","84,919","100,991","100,991",2019,"$1,009,910",2018,"$1,009,910","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,0,Partial and Rec Room,Partial and Unfinished,Yes,2,2.5 car attached,77,"4,486",Assessor Certified
2019,15-01-104-020-0000,1510 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,171",15,33001,2019 Assessor Certified,2018,"11,005","11,005","52,387","52,387","63,392","63,392",2019,"$633,920",2018,"$633,920","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,1,2 car attached,64,"3,301",Assessor Certified
2019,15-01-104-021-0000,1506 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","53,688","53,688","66,720","66,720",2019,"$667,200",2018,"$667,200","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,0,Full and Rec Room,None,Yes,2,3 car detached,80,"3,424",Assessor Certified
2019,15-01-104-028-0000,1530 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33012,2019 Assessor Certified,2018,"10,860","10,860","40,019","40,019","50,879","50,879",2019,"$508,790",2018,"$508,790","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,2,Full and Unfinished,None,Yes,2,2 car attached,70,"2,549",Assessor Certified
2019,15-01-104-029-0000,1526 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33012,2019 Assessor Certified,2018,"10,860","10,860","44,023","47,783","54,883","58,643",2019,"$548,830",2018,"$586,430","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,2,Full and Rec Room,None,Yes,2,1.5 car attached,71,"2,652",Assessor Certified
2019,15-01-104-060-0000,1520 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"12,670",15,33001,2019 Assessor Certified,2018,"15,204","15,204","57,833","57,833","73,037","73,037",2019,"$730,370",2018,"$730,370","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,1,2 car attached,66,"2,871",Assessor Certified
